	cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell16	cell17	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell40	cell41	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell50	cell51	cell52	cell53	cell54	cell55	cell56	cell57	cell58	cell59	cell60	cell61	cell62	cell63	cell64	cell65	cell66	cell67	cell68	cell69	cell70	cell71	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell82	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell91	cell92	cell93	cell94	cell95	cell96
gene831	175.49	77.12	113.03	263.45	170.41	316.08	247.91	207.35	214.07	49.97	190.92	85.65	199.18	327.76	55.81	359.73	56.97	72.31	77.2	107.12	216.23	122.38	153.75	100.99	200.11	347.23	174.17	101.3	159.97	195.87	165.39	415.81	345.48	20.46	495.7	113.34	438.84	887.34	56.59	24.33	257.73	297.75	962.13	637.93	408.66	522.13	218.73	801.48	136.47	196.73	118.42	84.66	12.22	289.58	59.17	88.63	202.07	114.8	348.91	446.17	181.53	119.85	149.61	280.91	323.5	361.4	140.78	46.88	21.79	260.03	211.89	243.94	199.13	51.9	8.02	345.3	294.9	118.53	109.79	208.39	417.94	126.24	27.34	152.58	39.66	116.66	449.43	94.26	116.28	140.68	28.47	876.5	466.12	114.08	145.26	46.73
gene832	38.71	11.42	17.13	672.07	16.86	38	115.46	12.84	8.99	2.38	20.43	23.5	155.81	21.8	22.44	5.75	67.47	38.35	59.6	16.48	10.04	18.69	10.21	64.18	56.55	15.05	54.79	44.49	10.71	58.7	127.37	21.64	99.23	5.62	21.6	11.86	217.7	3.72	200.57	9.18	36.97	31.38	4.12	8.18	100.11	43.95	11.8	4.7	74.3	16.93	47.92	22.35	21.53	19.47	11.89	6.49	14.17	29.58	6.27	4.87	15.49	42.65	20.14	50.93	54.67	30.85	4.81	62	4.95	14.67	46.5	3.5	21.78	15.7	8.62	23	11.92	4.04	191.1	23.87	5.92	13.99	464.75	11.92	19.26	214.46	399.34	8.77	18.01	11.64	30.11	5.97	5.37	2.23	50.84	28.28
gene833	219.75	233.8	15.86	337.69	413.21	116.94	279.68	396.09	333.67	0	331.34	79.18	15.61	476.53	0	116.98	37.46	31.21	440.9	87.9	25.03	11.91	111.31	0	97.25	0	92.19	590.9	353.45	10.97	0	10.5	34.9	33.48	194.33	0	141.43	0	187.72	0	0	165.5	25.8	216.47	0	399.43	0	12.52	21.7	24.05	64.58	167.27	11.11	103.5	161.83	338.99	99.87	1.51	41.79	123.03	13.72	857.54	11.75	75.94	1757.94	466.02	362.64	667.9	0	9.47	382.07	3.31	75.25	0	0	16.08	55.49	119.82	0	124.55	0	327.08	648.56	2.16	527.11	0	195.42	31.35	206.52	0	86.83	10.32	7.31	89.79	0	14.93
gene834	987.65	314.73	658.8	192.3	670.84	202.3	1311.33	786.87	541.91	130.81	287.53	1325.91	1038.97	1210.43	452.38	517.34	401.82	807.74	694.8	683.95	500.3	964.16	770.25	578.16	1467.61	1890.11	1773.95	508.39	378.79	1131.32	1234.35	440.17	509.17	336.66	683.36	445.55	482.12	998.22	319.31	632.72	776.08	1563.19	708.76	177.05	2241.21	1181.06	372.32	948.63	453.3	699.96	819.81	963.49	597.94	967.33	471.83	436.48	864.01	615.1	1900.92	1376.65	868.33	475.39	364.95	823.18	354.35	355.41	569.86	477.07	395.17	558	1406.97	342.23	948.44	415.16	646.56	608.81	981.83	1111.46	940.25	446.25	956.92	426.72	1101.35	619.78	330.49	3463.9	1057.82	1087.06	415.65	622.17	496.91	1968.79	318.18	844.04	982.21	938.4
gene835	132.65	46.37	90.1	179.38	4.41	216.43	33.22	138.29	173.52	95.08	116.87	131.16	288.15	45.29	31.76	186.26	114.81	205.34	20.59	93.39	275.36	159.22	126.89	73.58	11.26	40.55	6.72	125.93	183.89	74.01	7.73	86.93	363.46	299.42	9.13	6.7	163.14	0.76	97.94	13.36	70.54	81.3	2.59	131.58	140.09	139.53	96.69	203.5	36.73	115.09	52.06	88.5	7.9	233.81	142.33	208.2	96.71	179.5	321.06	140.95	131.07	31.03	87.31	45.31	109.09	47.82	54.05	282.53	0.78	111.95	72.29	0.66	33.77	60.72	109.71	29.27	16.08	103.43	93.74	106.77	99.03	47.65	3.54	85.02	94.13	0	9.44	52.33	68.36	86.52	96.69	262.29	1.17	43.04	167.05	6.55
gene836	132.82	45.77	40.27	96.21	76.93	574.08	193.24	304.17	70.54	24.09	79.22	78.47	50.49	69.82	64.25	147.97	82.18	213.74	74.47	135.44	43.31	93.93	156.66	100.05	164.65	49.4	84.93	170.17	46.65	137.34	35.52	221.91	146.14	152.65	54.11	41.08	51.79	59.22	175.73	49.77	112.87	364.46	60.81	22.47	31.91	96.04	72.92	122.74	64.34	69.17	63.9	116.47	48.79	331.07	75.16	55.88	31.49	94.94	109.75	121.31	81.51	200.4	242.99	85.85	95.31	163.06	147.94	250.41	43.59	88.81	77.92	32.96	53.12	183.97	174.71	189.4	60.8	66.47	163.08	455.95	55.81	68.38	52.45	186.24	27.46	173.24	104.28	86.38	98.68	46.69	206.33	1.32	58.56	97.79	87.16	48.03
gene837	690.65	86.07	1360.66	213.9	227.01	1170.23	1594.08	268.49	1047.52	144.34	230.02	298.03	929.69	618.99	221.11	660.68	292.47	82.61	168.12	269.18	2.5	438.57	346.18	423.11	389.45	45.8	213.35	503.54	228.41	951.22	0	0	310.02	260.43	207.08	638.15	226.7	119.32	490.18	0.93	429.11	103.89	374.89	265.18	42.03	353.8	509.67	0	55.15	109.17	204.46	26.76	24.44	46	161.83	225.99	304.24	334.04	82.53	281.48	135.61	221.07	164.44	45.24	72.6	66.27	113.38	186.59	552.54	223.92	331.08	0	344.32	0	160.1	130.12	55.49	50.08	116.06	0	319.58	129.96	130.9	182.82	368.14	19.44	528.01	713.73	504.22	377.36	3.16	1088.84	227.5	271.37	559.27	8.53
gene838	1148.63	1226.8	1891.22	983.12	1023.88	1776.93	1323.42	938.4	1509.05	1659.87	1511.58	1164.72	1067.39	786.53	1530.53	869.78	1291.43	1070.28	787.44	920.47	690.89	781.89	1173.52	746.77	1445.67	1553.83	877.14	829.93	942.01	1125.65	1514.9	1230.75	1238.02	1295.28	1162.6	1160.72	1314.45	1276.03	1607.47	1862.33	1047.72	1029.24	1602.22	1471.23	2206.88	1237.89	1304.32	1636.17	879.98	1069.43	1418.98	1150.83	1421.88	1161.5	1285.42	1118.83	1147.36	1148.65	2047.52	853.85	1190.57	1391.08	995.19	1808.11	1579.9	1256.97	1583.15	793	1302.76	1209.05	1213.32	2268.01	1709.24	8290.23	1735.17	880.25	1294.52	1702.9	1387.76	1106.17	1252.85	981.23	864.58	1048.81	1277.98	10765.6	1300.27	1274.58	1155.45	1389.05	517.84	299.27	1627.45	1135.47	1474.44	1638.6
gene839	19.32	98.91	28.2	34.57	25.51	34.64	7.92	23.93	8.78	45.19	38.34	8.81	12.77	3.01	76.24	23.07	20.55	27.54	36.03	21.97	17.52	7.94	14.47	5.26	16.83	1.76	9.22	16.99	16.13	10.97	33.08	25.78	4.11	37.2	23.89	11.72	47.84	25.35	25.46	33.4	44.41	3.62	51.88	44.05	37.83	3.44	49.24	1.57	31.02	9.25	14.35	4.46	37.21	13.42	11.7	24.37	2.32	13.6	37.61	13.98	5.15	9.48	15.1	6.46	10.37	19.24	15.72	12.72	5.84	19.81	2.03	49.68	31.92	337.32	31.69	5.85	8.76	20.92	16.58	7.41	10.83	15.16	21.53	23.03	14.64	0	60.13	19.59	23.53	18.8	64.73	67.35	51.2	17.96	50.84	25.59
gene840	480.56	268.48	75.56	49.7	482.08	495.36	203.16	358.88	469.49	302.04	358.73	193.91	248.39	164.53	310.09	291.72	215.08	148.13	134.93	184.03	212.77	73.43	310.56	76.21	43.01	123.32	146.19	117.67	122.3	68.94	163.49	250.56	174.23	502.12	404.6	179.78	103.99	376.35	301.09	148.44	426.17	64.03	374.85	325.09	99.33	377.74	142.54	45.44	151.69	86.82	182.99	127.39	199.71	176.04	82.43	59.82	165.35	75.27	209.98	92.17	132.09	83.67	132.91	198.42	41.49	14.71	269.28	171.58	11.73	144.72	366.46	415.41	200.66	64.87	267.37	119.64	88.58	175.65	195.65	96.47	54.17	190.68	468.62	150.1	211.74	0	309.16	248.27	131.02	195.16	242.46	386.2	268.62	171.6	130.74	249.68
gene841	17.22	6.6	29.38	389.05	56.75	684.85	3.61	116.46	90.03	5.97	28.86	215.11	186.72	14.82	37.75	189.92	16.42	29.15	30.16	20.77	67.91	37.17	252.78	28.43	16.74	20.52	50.44	14.44	12.53	25.04	845.88	6.31	492.56	54.19	12.78	206.69	6.45	2.96	36.92	397.35	116.47	25.13	18.94	37.66	897.38	153.17	7.4	11.57	19.17	6.62	215.21	42.87	43.42	26.85	16.53	16.79	144.95	16.56	12.59	9.36	177.57	25.68	75.39	42.38	54.14	39.4	18.63	219.81	52.67	27.76	121.9	22.55	15.36	56.31	33.25	46.29	15.07	10.12	71.01	22.49	9.15	21.51	3.8	22.16	406.12	59.3	64.38	16.51	24.36	28.28	32.85	4.64	327.11	185.05	54.69	194.83
gene842	37.24	28.27	263.76	82.1	158.81	0	84.43	132.92	0	359.12	43.81	2.94	90.84	153.67	2.54	158.17	2.42	78.94	30.88	57.65	137.68	64.77	1.11	226.01	3.74	202.6	120.04	97.07	0	0	0	216.78	59.36	22.32	17.52	0	2.08	0	14.32	329.35	114.07	25.37	0	1.76	0	0	0.86	757.68	77.56	5.55	113.02	84.75	136.06	51.75	35.09	257.01	106.84	0	270.58	93.22	65.18	0	328.84	6.46	186.75	0	249.62	6.36	0	0.86	113.81	428.08	524.47	38.92	40.63	19.01	430.84	0	99.4	7.41	79.44	423.77	0	4.32	0	0	0	1.12	102.81	0	0	1.09	8.94	51.88	0	12.8
gene843	207.68	219.67	459.99	112.35	68.87	15.9	242.74	53.17	247.12	535.11	142.4	131.33	141.94	148.48	73.7	166.42	315.14	141.36	101.22	54.94	87.61	139.55	184.78	13.14	37.4	192.03	133.02	93.43	95.42	53.28	5.22	189.05	552.29	498.48	33.45	136.79	172.63	22.87	82.76	342.34	255.65	71.27	110.62	136.55	28.22	83.91	104.53	0	187.87	83.27	28.79	33.45	157.74	13.42	208.62	13.29	72	140.56	52.23	57.73	29.16	93.17	191.29	54.94	115.81	4.28	1.97	19.08	88.05	59.63	89.42	235.16	4.56	12.97	59.32	25.76	156.24	33.6	320	38.55	245.55	151.6	100.06	155.46	244.73	0	115.75	132.08	44.44	513.16	11.05	5.43	1.63	139.68	21.79	12.8
gene844	7891.29	5581.83	6027.75	5270.16	6639.08	6473.03	7066.37	10115.15	7605.28	7058.4	5523.81	4912.12	8005.22	9072.62	6725.75	9908.46	8280.16	12614.55	7546.07	8623.17	16635.25	11855.16	9434.85	6351.81	6503.85	4752.98	7656.56	10953.08	12098.75	4539.77	7006.09	4050.62	7921.94	8446.03	9264.77	8671.29	5103.3	8792.32	3133.45	5921.48	6857.4	9157.85	5436.02	2572.86	4963.36	9954.03	3507.11	3226.45	2971.86	6943.87	5628.79	5663.16	4010.89	5975.46	10169.49	4705.69	5144.49	4165.93	8294.08	11579.25	3975.49	2137.51	5586.55	3198.31	4036.05	4676.44	4980.82	4618.2	2100.02	5501.55	3339.93	5956.41	4974.87	27933.01	6521.28	4581.39	3728.04	2628.61	4419.19	4597.1	6065.64	4997.64	3323.31	5374.74	3974.62	6274.49	5397.21	4875.71	4336.95	5327.02	3119.08	5152.4	4185.32	3031.53	4332.89	3991.5
gene845	1242.11	1064.39	858.25	1013.35	537.54	1460.68	773.98	592.39	1157.59	933.52	1393.8	697.54	1198.2	899.87	1402.03	836.49	1286.78	1096.07	852.23	524.36	915.58	613.23	748.44	764.53	793.43	836.21	1004.45	701.63	1244.94	1101.66	1956.66	914.43	988.78	1247.64	742.88	1038.59	680.21	1307.95	1347.2	1857.88	997.4	1099.51	747.16	1006.56	1297.8	1364.77	382.71	1143.31	692.3	764.82	1008.45	926.75	764.43	1235.84	2053.8	1407.04	1151.5	942.52	966.51	785.45	988.66	495.05	1097.21	1254.46	564.24	1751.68	2064.54	984.34	1093.24	1061.19	1261.95	1943.89	1354.96	2611.36	779.67	1075.33	1076.41	983.78	1617.25	1168.82	1124.13	1168.6	441.22	657.08	478.29	2253.72	1497.62	1202.4	760.72	2037.53	568.48	1501.31	936.26	971.65	541.26	626.94
gene846	778.09	613.81	567.54	458.81	522.89	1268.39	751.97	428	475.4	982.23	1070.7	427.23	459.94	1381.46	484.15	499.14	1041.85	442.43	279.63	659.2	570.59	577.86	1024.39	493.98	895.82	866.76	569.43	317.9	1055.84	824.16	377.79	593.89	552.27	822.23	446.01	760.18	563.3	377	89	636.46	351.45	1426.52	991.46	772.73	618.66	885.85	265.21	2414.13	530.86	680.81	825.23	1017.95	465.66	366.03	555.72	547.95	968.94	625.71	674.55	418.5	663.79	797.5	1320.87	769.39	554.8	921.35	1203.51	226.87	21.8	702.7	769.63	1037.91	1482.39	51.9	716.84	860.94	616.21	848.88	830.67	418.14	844.93	1746.9	488.18	1540.59	701.81	19.44	368.28	777.93	946.32	296.61	192.61	1702.28	785.58	887.94	588.32	1531.3
gene847	78.77	14.7	91.37	191.2	97.46	99.6	9.95	102.35	6.3	5.37	14.46	0	134.74	183.63	179.95	98.25	41.66	215.75	92.64	130.94	124.89	4.98	297.7	122.17	440.69	16.6	65.32	89.48	166.34	96.43	378.1	154.95	47.59	323.84	25.61	28.43	91.87	56.26	100.31	33.56	354.12	312.25	5.41	146.09	1.91	0.86	89.56	0	0	0	160.78	192.65	226.3	0	6.4	28.85	68.66	167.34	199.47	3.83	213.28	32.53	0	8.18	4.89	24.82	132.01	0	243.95	0	117.61	2.02	4.13	0	9.21	215.9	46.9	136.99	47.95	7.71	47.32	13.43	0	21.05	31.79	0	106.74	878.62	25.62	0	12.57	624.73	465.11	103.8	0	4.01
gene848	540.91	291.3	645.14	650.36	1372.51	889.32	941.94	632.71	869.39	306.8	676.3	463.96	872.61	980.41	973.37	1095.54	1027.26	681.09	759.75	752.62	1431.52	1039.85	1307.63	275.94	375.91	1308.25	815.24	743.73	1099.3	466.94	147.98	613.93	873.62	1330.04	1269.55	636.11	1118.86	1321.1	1094.94	169.81	878.06	1009.9	888.81	1174.31	984.54	1213.3	1044.75	59.42	804.93	726.88	807.29	1056.65	1747.61	1636.74	808.76	1763.56	1570.03	740.55	603.95	2001.12	741.01	1145.73	489.97	1221.41	1113.19	1051.69	879.57	884.17	138.51	699.88	900.41	1516.36	400.97	908.16	909.29	939.27	486.61	468.5	790.81	946.54	1074.28	1620.21	1515.8	723.42	901.52	7472.8	1100.31	739.96	711.05	581.37	1447.74	1257.31	1603.19	364.06	704.53	1251.23
gene849	7.24	0	1.76	136.12	0	0	0	21.05	0	0	0	35.24	28.39	0	222.38	1.65	0	0	305.37	197.77	2.5	35.72	86.82	0	0	58.14	28.97	1.21	0	94.02	59.16	50.61	12.32	0	307.43	5.86	49.92	294.29	155.97	49.17	80.45	102.69	0	21.14	12.14	34.43	337.76	0	0	3.7	32.29	17.84	0.56	59.41	128.68	0	0	78.59	0	66.18	30.88	0	67.1	0	0	12.83	158.22	0	0	68.89	58.94	0.66	3.42	0	1.63	0	7.3	0.63	13.26	37.07	63.17	21.66	74.47	10.08	0	0	0	222.23	149.01	0.7	0	18.47	18.29	0	0	185.55
gene850	0	3.85	0	23.77	228.72	23.24	50.13	2.66	3.76	2.38	60.24	1.47	178.84	0	38.12	0	4.83	0	28.39	252.95	217.78	75.41	138.42	2.63	3.74	14.09	23.71	30.33	52.41	0	15.67	0	236.07	0	52.57	102.51	81.11	47.76	28.65	0	61.19	57.99	2.29	290.73	298.4	246.7	0	0	1.72	103.6	16.15	60.22	3.33	15.33	19.5	17.73	248.52	52.9	11.49	311.31	82.33	0	195.35	158.35	13.83	6.41	0.98	44.53	486.73	0	101.61	0	7.98	26.08	0	134.39	188.36	7.61	1.66	0	202.22	0	0	82.59	71.12	0	0	92.41	162.08	0.7	0	4.35	162.14	25.94	43.22	78.93
gene851	1009.36	1026.25	597.5	749.75	510.14	968.81	928.8	1108.16	1352.26	1151.09	840.68	919.04	861.56	926.61	493.05	703.5	623.61	972.3	509.52	719.66	1018.69	466.39	454.15	625.46	826.62	783.96	813.91	231.75	745.87	1305.25	666.81	936.66	1422.8	1300.82	712.03	828.56	806.97	1000.89	496.54	1381.43	739.35	548.44	284.57	1199.96	1168.15	710.19	1431.41	560.41	675.65	1190.16	859.32	1066.06	460.46	1222.79	569.31	1657.32	1272.78	959.35	1063.46	674.97	638.09	836.97	708.11	801.5	1422.6	673.33	80.59	581.18	395.17	716.43	2415.25	742.88	607.6	51.9	568.05	665.17	1067.75	730.91	703	1689.22	723.97	621.66	1134.42	1478.45	824.15	19.44	938.91	246.86	441.79	97.48	1133.57	642.56	648.95	429.01	196.11	423.71
gene852	601.3	785.54	426.53	373.79	249.97	502.7	718.54	350.34	386.36	275.88	1002.52	375.84	623.7	415.3	5.08	769.42	640.54	580.25	787.9	486.18	192.75	361.22	665.65	249.66	1518.59	338.25	841.42	678.26	428.81	645.97	1055.03	788.56	605.67	458.76	105.13	470.99	983.78	238.63	553.8	30.62	118.44	904.97	579.85	475.74	720.18	927.24	589.14	1720.36	594.77	437.79	333.68	483.97	956.35	1178.71	1310.2	653.81	1182.2	253.91	722.9	882.66	844.77	334.79	792.01	424.96	300.77	378.37	145.45	307.45	197	124.07	430.85	1242.04	727.41	12.97	711.03	783.64	679.02	269.41	190.67	394.43	1199.17	839.31	144.86	171.32	849.23	77.77	813.23	424.41	815.61	527.76	1008.93	167.83	586.78	239.44	414	281.52
gene853	360.1	70.77	19.56	289.83	28.31	12.35	318.23	65.37	129.81	7.75	28.94	132.49	252.37	394.97	229.99	71.69	73.52	32	44.55	114.02	20.75	173.01	226.86	29.56	381.42	16.3	108.47	75.13	136.3	141.51	3.6	43.63	164.39	316.1	120.23	267.68	38.58	3.83	276.68	576.17	56.85	220.22	477.64	43.8	64.49	291.55	85.08	72.54	50.95	299.8	488.59	162.86	77.05	0	356.78	70.94	25.55	74.48	37.09	137.68	86.04	148.75	364.28	27.44	24.7	413.69	0	291.08	0.63	82.89	4.11	652.35	309.7	34.12	25.52	94.49	97.53	85.57	114.64	8.45	4.37	255.08	19.08	14	9.18	58.14	49.3	115.09	46.11	56.17	181.18	610.55	310.15	216.88	51.13	105.95
gene854	488.29	228.66	384.23	54.02	257.62	143.11	604.9	146.21	366.29	88	38.34	556.43	290.97	515.66	282.26	294.92	453.3	673.84	341.39	203.26	267.85	559.63	139.14	157.68	349.72	128.6	434.61	560.38	318.51	271.03	865.1	386.7	798.66	1162.83	55.23	13.68	172.63	431.42	55.7	312.66	28.47	118.39	57.98	277.51	137.31	130.85	962.32	142.45	373.52	68.45	273.03	490.82	107.19	344.99	717.49	709	264.78	323.43	557.85	445.53	366.3	192.66	563.81	440.05	152.11	374.46	702.67	567.29	599.19	90.42	262.71	986.34	145.94	51.9	178.1	245.62	391.32	517.32	205.59	395.82	723.99	478.7	364.18	208.75	470.63	58.33	273.58	195.36	222.2	415.67	666.25	710.33	861.88	494.85	29.05	72.51
gene855	212.51	3.85	44.06	114.51	15.3	0	2.64	223.3	102.86	0	0	249.58	0	611.59	0	138.4	0	0	0	173.05	40.05	123.04	166.97	5.26	0	0	215.99	91	0	23.5	0	0.95	55.43	0	9.56	0	33.28	2.49	0	285.75	225.49	43.49	2.29	51.1	7.01	123.96	736.85	0	1.72	38.85	3.59	497.36	0	0	0	46.53	9.29	0	157.38	12.12	41.17	53.69	0	121.19	0	10.69	0	10.6	0.39	8.61	0	0	415.01	12.97	0.81	20.47	73.01	6.34	13.26	158.66	0	0	0	0	54.38	0	377.3	399.68	120.25	158.05	25.26	1.63	0	2	116.21	233.75
gene856	792.08	736.81	426.64	594.2	818.8	798.7	934.64	656.61	644.82	748.56	306.7	474.61	584.88	1326	881.45	489.78	626.02	372.67	286.5	557.6	270.35	530.59	727.97	358.54	510.56	785.72	716.49	799.36	723.41	599.15	403.9	566.18	308.64	687.55	520.12	879.31	596.91	322.73	314.11	228.23	419.08	662	425.71	429.05	938.31	946.06	591.89	978.37	560.25	329.31	409.03	350.16	326.58	377.57	471.83	706.79	219.62	270.5	1356.19	748.45	281.31	718.38	758.02	547.77	637.27	260.44	482.42	332.89	332.1	905.96	156.49	372.28	727.75	38.92	286.87	360.23	413.15	509.14	804.19	183.86	243.74	763.82	615.51	452	173.61	2333.25	240.51	868.34	530.28	519.94	69.23	622.98	309.04	616.63	479.37	838.16
gene857	130.45	281.47	254.63	332.74	99.45	69.66	52.24	180.02	70.18	24.12	211.16	191.7	90.94	79.93	81.73	224.29	226.38	170.51	192.81	172.33	209.4	250.74	320.36	224.75	44.88	188.47	80.23	185.97	279.65	139.53	190.27	136.59	224.82	20.78	44.55	679.5	30.45	330.97	99.17	20.68	25.02	267.3	121.67	360.65	42.42	40.42	32.27	441.14	508.49	80.62	62.34	184.04	67.97	34.08	63.95	593.28	188.27	63.67	298.42	271.17	131.73	414.48	106.28	211.72	241.79	128.41	29.84	334.42	261.38	159.17	76.6	71.36	111.6	207.97	75.07	69.97	203.4	28.74	175.97	172.28	638.7	421.89	39.23	327.49	54.64	147.19	232.88	148.3	122.26	18.88	36.19	24.35	314.02	158.99	157.25	261.67
gene858	11.83	24.32	22.51	6.48	17.73	7.02	17.23	18.5	4.09	2.78	11.83	25.38	12.18	12.17	22.66	8.11	7.23	13.05	12.04	36.26	10.81	40.96	13.97	34.72	14.38	17.85	9.88	34.97	16.46	11.72	9.14	3.8	8.29	1.88	8.27	7.82	11.83	1.03	38.78	8.75	4.11	17.46	2.55	6.8	4.18	2.85	11.21	6.14	19.74	14.89	12.56	17.08	14.98	4.04	12.13	18.15	7.22	12.97	10.51	1.05	16.81	17.17	16.24	14.09	13.45	12.25	8.27	9.82	2.99	8.09	9.43	4.61	9.02	38.14	4.66	21.18	15.87	3.35	15.6	46.38	6.92	11.57	3.56	13.99	8.37	213.1	25.54	3.88	26.95	6.21	10.26	1.18	7.55	23.9	0	18.94
gene859	149.17	27.36	1.62	88.31	13.57	0	98.26	0	0	6.87	67.36	21.76	2.3	1	15.6	155.48	49.03	155.27	7.03	122.64	0	5.99	54.74	72.32	176.17	35.96	67.89	103.41	330.48	16.39	2.61	54.03	103.19	41.69	10.98	26.73	0	254.06	49.35	0.93	83.43	72.84	0	53.12	7.24	14.96	66.52	2.35	127.44	0	21.04	52.81	44.43	201.84	155.74	66.23	1.16	97.45	4.79	18.57	18.87	125.59	25.05	125.26	29.47	0	11.13	18.85	0	391.45	35.85	134.21	119.28	155.69	170.98	109.53	85.57	5.51	42.81	0	111.6	75.9	0	43.83	3.97	19.44	64.53	1.45	21.98	1.96	11.76	0	0	15.07	0	11.73
gene860	84.52	48.82	111.04	41.05	218.09	0	87.07	130.26	0	266.37	93.1	104.24	105.03	246.21	27.96	46.13	132.29	9.18	121.8	52.19	80.08	27.78	62.33	0	255.99	7.05	100.09	1.21	130.36	180.2	132.33	31.51	197.1	206.48	259.64	72.3	33.28	0	27.06	42.68	0	64.03	99.94	22.91	87.8	23.24	31.1	82.97	1.72	70.3	186.68	153.89	2.78	11.5	89.69	259.23	90.58	190.43	224.6	279.41	99.35	96.33	60.41	53.32	209.16	21.38	0	182.35	0	17.22	284.52	98.04	0	0	41.45	61.4	223.5	13.95	74.61	103.79	74.03	101.81	0	0	35.56	0	189.4	0	26.14	32.03	0	29.33	0	0	79.9	0
gene861	164.21	317.2	19.39	66.98	0	1.22	0	79.75	18.82	0	101.32	35.24	119.23	4.01	102.93	72.49	196.99	5.51	72.05	43.95	77.6	55.57	24.49	18.4	26.18	5.29	101.41	54.6	166.64	37.61	100.98	40.1	45.17	7.44	4.78	39.08	131.03	48.22	57.29	83.5	1.14	12.08	5.34	0	48.57	0	153.77	381.95	6.89	42.55	26.91	2.23	130.52	7.67	0	8.86	106.84	83.13	194.22	1.86	15.44	44.22	5.03	29.08	32.84	0	18.67	50.93	64.24	55.97	0	0	50.17	168.66	30.88	29.24	13.14	51.99	81.24	56.35	36.11	0	0	38.86	60.66	0	9.02	0	2.61	139.25	41.05	196.07	13	2	14.53	98.11
gene862	198.31	11.09	72.46	167.49	28.67	1.3	19.02	81.13	24.72	8.23	76.07	10.07	11.55	77.68	5.95	14	235.28	61.67	80.58	18.38	249.45	50.23	104.65	96.89	120.08	19.29	6.28	21.59	11.88	59.39	10.15	109.14	135.2	134.05	7.14	6.21	87.79	5.77	73.24	10.44	409.54	99.83	2.52	85.48	49.53	27.16	5.69	140.31	212.55	45.2	84.23	7.43	222.88	29.13	27.74	8.82	16.58	62.33	3.78	6.12	57.1	121.24	26.39	104.3	271.99	160.86	4.81	14.18	228.51	30.78	119.36	0.69	4.59	0	105.92	53.85	327.07	4.68	9.57	21.77	2.13	228.13	2.46	72.38	49.41	19.44	144.94	5.72	49.69	5.22	18.74	1.08	39.08	38.65	63.34	11.43
gene863	446.77	745.07	673.25	263.6	1581.74	1219.5	1174.55	257.86	676.13	451.87	391.34	983.66	941.05	388.97	649.35	416.85	629.65	982.16	552.44	617.23	655.85	444.53	583.27	367.92	416.9	707.68	406.94	474.42	233.84	1223.77	457.87	1398.33	143.72	1023.11	310.62	547.1	553.23	766.61	980.59	1081.77	831.36	330.65	424.18	1232.52	159.74	297.85	877.71	1001.25	317.16	588.31	606.22	294.4	620.42	195.49	343.17	312.4	441.25	689.03	209.98	337.41	186.97	461.13	186.26	308.62	518.57	609.25	282.05	144.18	325.48	583.03	416.52	173.47	427.82	480.03	63.39	324.57	482.1	749.35	837.32	652.42	695.07	415.89	658.52	447.74	786.52	952.74	496.48	659.97	758.1	378.07	685.2	1138.39	761.51	708.38	857.06	659.21
gene864	629.24	466.66	915.97	402.62	775.41	421.72	355.46	597.49	494.85	270.34	534.15	699.6	738.38	646.36	438.37	590.26	285.3	635.87	737.14	711.86	411.68	873.55	458.66	849.15	300.93	256.91	645.44	591.95	571.62	789.51	313.29	514.49	663.09	653.82	414.97	1104.93	580.4	152.09	707.83	441.39	467.38	514.41	552.31	435.6	310.98	798.95	616.74	382.16	859.26	590.1	557.6	387.33	645.28	442.73	476.78	352.62	264.27	950.57	200.89	160.64	626.75	909.31	689.17	713.24	919.54	743.6	150.93	1160.58	471.48	562.96	1137.03	172.5	691.71	454.08	411.16	725.57	566.61	187.18	512.03	566.62	742.44	647.53	271.28	748.15	485.23	7189.12	478.6	292.82	395.08	418.19	1820.14	100.26	364.96	502.08	350.81	640.2
gene865	91.76	193.98	188.15	41.05	55.71	149.22	76.52	29.24	70.25	30.92	13.69	48.45	53.94	50.15	74.92	96.66	30.21	27.54	54.9	10.99	27.54	105.18	72.35	18.4	71.07	40.52	31.61	18.2	161.27	37.62	19.15	47.74	108.88	42.78	38.23	74.26	76.68	69.1	124.14	80.72	53.53	39.86	106.05	91.39	20.08	18.94	54.42	23.47	60.33	9.25	104.05	17.84	53.32	11.5	24.96	17.73	13.94	122.42	44.29	16.78	53.17	6.32	18.44	48.47	29.39	29.93	51.1	86.93	1.56	38.75	24.39	44.38	143.66	25.95	69.89	35.1	30.66	102.53	59.69	62.28	46.98	15.16	20.8	73.42	18.83	19.44	48.1	40.86	47.05	176.07	91.57	94.51	52.42	71.83	58.11	38.39
